Date,SPY,,,TA35.TA,,,IEI,,,LQD,,,,,,
3/23/2022,0.01667307,0.47,0.1,-0.012850049,0.21,0.06,0.002053264,0.19,0.75,0.028354316,0.11,0.2,0.008646928,1016.545463,988.0998338,0.008107115
3/24/2022,-0.013668688,0.47,0.1,0.033315232,0.21,0.06,-0.001243058,0.19,0.75,-0.000296575,0.11,0.2,0.000303111,1016.853589,987.7445494,-0.000359563
3/25/2022,-0.011267233,0.47,0.1,-0.022636875,0.21,0.06,-0.000201054,0.19,0.75,-0.010632981,0.11,0.2,-0.011257171,1005.406694,983.0405916,-0.004762322
3/26/2022,0.015981004,0.47,0.1,-0.008010824,0.21,0.06,0.001337686,0.19,0.75,-0.008447317,0.11,0.2,0.005153755,1010.588313,983.46453,0.000431252
3/27/2022,-0.006504001,0.47,0.1,0.018169145,0.21,0.06,0.001301458,0.19,0.75,0.003752431,0.11,0.2,0.001418684,1012.022019,985.5950368,0.002166328
3/28/2022,-0.006974599,0.47,0.1,0.000107341,0.21,0.06,-0.000680817,0.19,0.75,-0.003330503,0.11,0.2,-0.003751231,1008.225691,983.7542089,-0.001867733
3/29/2022,-0.012153918,0.47,0.1,-0.000629406,0.21,0.06,-0.00080809,0.19,0.75,0.005235748,0.11,0.2,-0.005422121,1002.758969,982.9553274,-0.000812074
3/30/2022,0.031383385,0.47,0.1,-0.002783083,0.21,0.06,-0.002258252,0.19,0.75,-0.00518697,0.11,0.2,0.013166109,1015.961402,983.1915026,0.000240271
3/31/2022,-0.015441725,0.47,0.1,-0.022359947,0.21,0.06,-0.001089088,0.19,0.75,-0.006404993,0.11,0.2,-0.012864675,1002.891389,978.2916855,-0.004983584
4/1/2022,0.03174029,0.47,0.1,0.009058052,0.21,0.06,-0.00082614,0.19,0.75,-0.012322789,0.11,0.2,0.015307654,1018.243303,978.9112855,0.000633349
4/2/2022,-0.031669416,0.47,0.1,-0.006893144,0.21,0.06,-0.001292306,0.19,0.75,0.005782731,0.11,0.2,-0.015941624,1002.010851,975.5896301,-0.003393214
4/3/2022,-0.013336693,0.47,0.1,-0.004877605,0.21,0.06,0.003523566,0.19,0.75,0.001140453,0.11,0.2,-0.006497615,995.5001702,976.8036926,0.00124444
4/4/2022,-0.016632653,0.47,0.1,-0.000499723,0.21,0.06,0.00127543,0.19,0.75,0.01227994,0.11,0.2,-0.006329164,989.1994868,978.4831225,0.001719312
4/5/2022,-0.016319679,0.47,0.1,0.089779228,0.21,0.06,-0.003059212,0.19,0.75,-0.010841501,0.11,0.2,0.009409573,998.5074319,977.7904314,-0.000707923
4/6/2022,0.046945126,0.47,0.1,-0.088750683,0.21,0.06,0.001106919,0.19,0.75,-0.001374323,0.11,0.2,0.003485705,1001.987934,977.7168982,-7.52034E-05
4/7/2022,-0.01738404,0.47,0.1,-0.020628605,0.21,0.06,-0.002037527,0.19,0.75,-0.005263014,0.11,0.2,-0.013468567,988.4925922,972.283854,-0.005556869
4/8/2022,-0.023171471,0.47,0.1,0.047717968,0.21,0.06,-9.39E-05,0.19,0.75,0.010365915,0.11,0.2,0.000252595,988.7422809,974.7619175,0.002548704
4/9/2022,-0.016808686,0.47,0.1,-0.028515225,0.21,0.06,0.000652466,0.19,0.75,-0.008202899,0.11,0.2,-0.01466663,974.2407634,970.3335619,-0.004543012
4/10/2022,0.075805008,0.47,0.1,0.022947964,0.21,0.06,-0.004297729,0.19,0.75,-0.052616948,0.11,0.2,0.033842994,1007.211987,965.6863358,-0.004789308
4/11/2022,-0.027995102,0.47,0.1,-0.055181331,0.21,0.06,0.003640792,0.19,0.75,0.020694871,0.11,0.2,-0.021777591,985.2773365,966.419464,0.000759178
4/12/2022,-0.042449163,0.47,0.1,0.024999112,0.21,0.06,-0.001117771,0.19,0.75,0.035074541,0.11,0.2,-0.01105547,974.3846322,969.7358389,0.00343161
4/13/2022,-0.02053877,0.47,0.1,0.011240224,0.21,0.06,0.00039658,0.19,0.75,-0.015030823,0.11,0.2,-0.008870815,965.741046,965.7713712,-0.004088193
4/14/2022,0.014116137,0.47,0.1,-0.006654447,0.21,0.06,0.001915155,0.19,0.75,0.010152906,0.11,0.2,0.00671785,972.2287492,970.0973452,0.004479294
