Date,SPY,TA35.TA,IEI,LQD
2022-01-17 02:00:00,,,,
2022-01-18 02:00:00,,0.004451784300574246,,
2022-01-19 02:00:00,,0.002649208428195937,,
2022-01-20 02:00:00,,-0.007352759943937359,,
2022-01-21 02:00:00,,-0.009508470913432321,,
2022-01-22 02:00:00,,-0.0045668520427858406,,
2022-01-23 02:00:00,,0.0008360992222284924,,
2022-01-24 02:00:00,,-0.00892004160220794,,
2022-01-25 02:00:00,,-0.025076278384040807,,
2022-01-26 02:00:00,-0.0048787354045869424,0.029021124036811008,-0.047605433738539316,-0.05066143816258761
2022-01-27 02:00:00,0.005107609896560561,-0.002839304575360857,0.024481212102974492,0.012382824581279372
2022-01-28 02:00:00,-0.01786191594259101,0.0012040562171622415,0.010474309652116487,-0.0036117456315498675
2022-01-29 02:00:00,-0.014651685591912433,0.0021473547242198965,-0.0028710138894790793,0.010753895529330482
2022-01-30 02:00:00,0.004811473962958113,-0.015261364559734925,0.004738239983984371,0.006265588919704745
2022-01-31 02:00:00,-0.0005770578025361406,0.011623841579532224,-0.007450118057278465,0.02266787285041838
2022-02-01 02:00:00,0.010993902750225937,0.0044577411229271835,-0.002449708356891289,-0.008683397715630314
2022-02-02 02:00:00,-0.008056706178814932,0.0015162736557723377,-0.03194090733503985,-0.044425529373292805
2022-02-03 02:00:00,0.03035659573981664,0.0010931703853396257,-0.010026383390463578,-0.006562080808858006
2022-02-04 02:00:00,-0.035031135182495676,0.013486116512970714,0.0013126985982998551,0.01251225246598242
2022-02-05 02:00:00,0.03347477143512001,-0.017355077742436498,0.005960426764113791,-0.0006040878480285672
2022-02-06 02:00:00,-0.03030218502812676,-0.002761301181780196,-0.007307736820113431,0.001479013493091541
2022-02-07 02:00:00,0.015626732282884914,0.005905459152404591,-0.007586660957274338,-0.00893774908255518
2022-02-08 02:00:00,0.017584084085167984,0.010892674160984273,0.011109905371628148,0.0073254997874872
2022-02-09 02:00:00,0.01425971699133699,0.00033700357868515773,-0.0030864066673805812,-0.0003144918720644485
2022-02-10 02:00:00,-0.012577988482331492,-0.015507671089423969,0.003373949633020956,-0.0038340657284965385
2022-02-11 02:00:00,-0.013680220926305053,0.01650821186896323,-0.007550669248953756,-0.0009844720562063314
2022-02-12 02:00:00,0.02110471414586912,-0.013006940387765842,0.006256813771548186,0.00018424079830103857
2022-02-13 02:00:00,-0.01595733345239181,0.0116841382311339,-0.00033624722352310066,0.005741075081518998
2022-02-14 02:00:00,-0.003545535656689469,-0.03244726102165263,0.006454665938616433,-0.0010460579908260215
2022-02-15 02:00:00,-0.0027250360175479216,0.02850177327447323,0.001960358638501969,-0.006934270637381945
2022-02-16 02:00:00,-0.003752822899466768,0.007291305208739107,-0.011211492695565095,-0.0011590483958048292
2022-02-17 02:00:00,0.01944376272482473,-0.011534194530886666,0.010014162444235364,0.0008696997215584812
2022-02-18 02:00:00,-0.008491658477535524,0.004523197067380691,-0.004933485505401403,0.0007675951550885074
2022-02-19 02:00:00,-0.0017387680693093932,-0.008716876721308497,0.005926613583845164,0.005899213632174716
2022-02-20 02:00:00,0.010457178990053606,0.0061300992462782755,-0.009199177774224188,-0.00755874368034859
2022-02-21 02:00:00,0.005795251577374039,0.0004622805305534161,0.0531532955614058,0.007178566466022884
2022-02-22 02:00:00,-0.026090691730443538,-0.0023806282111248356,-0.03618309738260572,0.0050847808206255785
2022-02-23 02:00:00,-0.039830001101057166,0.00644580217191959,-0.01079459056614529,-0.007387488265380715
2022-02-24 02:00:00,0.06035627547573563,-0.0116834922923984,-0.0021124336459196202,-0.001352938377046864
2022-02-25 02:00:00,-0.008986560865557047,0.0016370154888913913,0.0021338206841876595,0.004906378974818271
2022-02-26 02:00:00,-0.0031928500152955674,0.0002480856664988096,-0.0006861246469748172,-0.004679164950847969
2022-02-27 02:00:00,-0.013524784323316497,-0.007087601306471014,-0.02009302492667564,0.000994804805438454
2022-02-28 02:00:00,0.018312846409306083,0.012034802238261255,-0.004210495667517744,-0.023713323602572278
2022-03-01 02:00:00,0.0038462446149458707,0.013101409978253598,-0.0031902822988780777,0.024742780110977414
2022-03-02 02:00:00,-0.007194173049292707,-0.0027474959775761754,0.0011783747698996816,-0.0018951674928011641
2022-03-03 02:00:00,-0.003824379378908893,0.004251900630292571,0.001365382655686087,0.0008129241297132328
2022-03-04 02:00:00,0.01503469412241909,-0.0010684216630937327,-0.006379344527589814,0.004116707758629934
2022-03-05 02:00:00,0.0032244925742144215,-0.019839008086163457,-0.007981555573937316,-0.000345096004524148
2022-03-06 02:00:00,0.010343426019170154,0.01902025565338228,-0.00570567432999558,-0.005169734981566809
2022-03-07 02:00:00,-0.02924823053120451,0.001255192426621754,0.00432077567889344,0.004590897217864098
2022-03-08 02:00:00,0.013870860212537472,-0.006903398438665054,0.005860625303117262,-0.007917233721863481
2022-03-09 02:00:00,-0.010550866712500162,0.00931185865686568,-0.011617800425599678,0.0025376154617802182
2022-03-10 02:00:00,-0.014095425226451574,-0.004235381822244588,0.0030126599822151157,-0.0021332108421717733
2022-03-11 02:00:00,0.019344850157997584,0.0020460727638649256,-0.006023796226417688,0.0013488514326531753
2022-03-12 02:00:00,-0.029690025666047504,0.003229707907425272,0.00912584892490087,0.004356421480810502
2022-03-13 02:00:00,0.027319233816969435,-0.0014438702974352013,-0.0008206698528531176,0.006504443092812284
2022-03-14 02:00:00,0.011777419840838466,0.0008536000620458228,-0.002973802152682725,-0.008168183207316826
2022-03-15 02:00:00,-0.0327198643708323,-0.008202670574366189,0.027554849806394444,0.005061407215112057
